Distance,Card_names
9.424321830774485e-08,Lurebound Scarecrow
2.2915616390875155,Xenograft
2.3252897224334528,Prismatic Ward
2.3624413649901954,Diamond Mare
2.4479179992121756,Synod Centurion
2.5227805335639273,Alloy Golem
2.662279638152607,Straw Golem
2.6918893006595694,Rust Monster
2.7326782806851617,Deadeye Harpooner
2.7440741037908434,Theft of Dreams
2.7486229197952334,Coldsteel Heart
2.760145809522164,Simian Simulacrum
2.7678113787556,Goblin Settler
2.7784085137692824,Caustic Wasps
2.7797765251817825,Custodian of the Trove
2.7878395374959397,Millikin
2.799435442301156,Ward Sliver
2.8061202174572735,Stenchskipper
2.8113220777847725,Duergar Hedge-Mage
2.825256092067162,Myr Scrapling
2.8353406791161397,Anthropede
2.836477601753447,Composite Golem
2.8379297107872237,Tunneling Geopede
2.8485819972780457,Pallimud
2.84895626404661,Patchwork Banner
2.857546742740027,Stimulus Package
2.8606103251843136,Shifting Sky
2.8635325405676895,Piranha Fly
2.8671166438899176,Prism Ring
2.8676983059977603,News Helicopter
2.869309500956114,Engineered Plague
2.8746211725159725,Icebind Pillar
2.878342990037341,Manglehorn
2.890187528881654,Bayou Groff
2.8938734069373324,An-Zerrin Ruins
2.8942905152449434,Haunted Guardian
2.894725849094669,Ronom Serpent
2.9018529404126587,Portcullis Vine
2.9114326591523167,Sylvok Replica
2.9148961963138147,Ancestral Statue
2.9159604141716584,Ior Ruin Expedition
2.918728527097697,Sol Grail
2.921328043109472,Caustic Caterpillar
2.9243990362584307,Bloodline Pretender
2.9272115498246873,Sparring Construct
2.928075331339533,Foundation Breaker
2.9289831568181826,Doorkeeper
2.9347693444853196,Druid Lyrist
2.9361825541559075,Coiled Tinviper
2.9371780137807475,Vineshaper Mystic
2.94182709019047,Squandered Resources
2.9436647591164378,Makindi Shieldmate
2.9456814401032823,Soulsworn Jury
2.9505410100619636,Boggart Arsonists
2.9525401507623807,Adaptive Automaton
2.9528105090958334,Accursed Centaur
2.9546115192721722,"Borrowing 100,000 Arrows"
2.95509797388651,Phyrexian Soulgorger
2.9590169073328547,Pentarch Ward
2.9592776548041,Barbarian Outcast
2.9596562140801237,Batterhorn
2.960421344821786,Ticking Gnomes
2.9618105534644625,Thorough Investigation
2.9694249557779573,Wooden Sphere
2.971249515521546,Pierce Strider
2.9737843825198604,Extruder
2.9738160491692636,Mold Adder
2.978616910236414,Goblin Cannon
2.979449175344017,Silhana Starfletcher
2.9837211442684635,Scarwood Treefolk
2.9850500994667515,Goblins of the Flarg
2.986301701758149,Vedalken Orrery
2.9871659798081684,Spectrum Sentinel
2.9916843621736104,Krark-Clan Ironworks
2.9940082920798927,Melting
2.9946529831800492,Manakin
2.9950129353578716,Phyrexian Revoker
2.995947869501987,Icehide Golem
2.9990060835016172,Ticket Tortoise
2.9998170922604483,Morgue Thrull
3.0018679213732797,Ogre Gatecrasher
3.0038728731217113,Nuka-Cola Vending Machine
3.0057467253577363,Ronom Unicorn
3.0101537789274455,Gruul Cluestone
3.0169409964760234,Implements of Sacrifice
3.018283509331319,Rimefur Reindeer
3.0225914257900857,Spirit of Resistance
3.022873049065271,Elvish Scrapper
3.0228779738206826,Surrakar Banisher
3.022981970345767,Azorius Locket
3.02685537479329,Convincing Mirage
3.030397144204386,Stingmoggie
3.033751472538222,Indrik Stomphowler
3.0368360572452002,Orzhov Locket
3.036938465437003,Qasali Slingers
3.038382773953753,Goblin Firebug
3.0390468879763954,Engineered Explosives
3.0409805955242395,Disturbing Mirth
3.042038822491882,Limestone Golem
3.0468558068215255,Paradise Plume
3.0492839333460218,Earthblighter
3.0500449159051004,Opposition
3.0506038970813396,Cover of Darkness
3.05525696983597,Simic Locket
3.056162165846604,Saruli Caretaker
3.056190068008246,Crossroads Village
3.0571537907613493,Artillery Blast
3.058867308593996,Foul Spirit
3.0593857821728676,Metallic Mimic
3.0601403793053086,Selesnya Locket
3.0602681364453184,Blood Crypt
3.060698657673587,Goblin Bombardment
3.061041345413164,Wall of Spears
3.0610477591490954,Realmwright
3.0612092915461524,Endemic Plague
3.063363986680434,Ferropede
3.0644471161355074,Oxidda Scrapmelter
3.067305915646705,Snake Pit
3.068341764222756,Stormwatch Eagle
3.0695785517868104,Felidar Cub
3.0696408731082996,Goblin Ruinblaster
3.070732912369066,Havenwood Battleground
3.071128642774604,Skull of Ramos
3.0712112173676847,Spitting Spider
3.0739433614396185,Shrewd Storyteller
3.0745033027074156,Diamond Knight
3.075082195559812,Spire Patrol
3.0763168897403084,Rambunctious Mutt
3.0802281301513506,Springleaf Drum
3.081038939661906,Gearsmith Guardian
3.081678041484974,Blood Servitor
3.083208154611628,Battered Golem
3.083463949605898,Rally the Ranks
3.0835017298093734,Fortifying Provisions
3.0840583751108586,Carrion Crow
3.0841185314219475,Morgue Toad
3.0844170073664086,Tainted Aether
3.0850352551908053,Blood Vassal
3.085365974379189,Elvish Lyrist
3.0863342765734285,Pillar of Origins
3.0912679295428185,Forgotten Sentinel
3.091652611344886,Tumble Magnet
3.0929185800671206,Chrome Prowler
3.093609248948072,Sea Serpent
3.0936558894401562,Mine Bearer
3.096156572973889,Vampire Hexmage
3.0962217792763886,Sanctum Plowbeast
3.0964702378169546,Serrated Biskelion
3.0989198136892004,Goblin Gardener
3.0990332865159043,Rusted Sentinel
3.0993280262571226,Runaway Trash-Bot
3.0993369822061614,Akki Avalanchers
3.0996811456592077,Desecration Elemental
3.099710698434199,Tooth of Ramos
3.101232467366287,Nevermore
3.1036211534413596,Satyr Hedonist
3.1048317125352165,Redtooth Genealogist
3.107888826754743,Jeweled Torque
3.109368842075374,Voltaic Servant
3.1099287308029204,Glowing Anemone
3.1121278269371957,Skyshooter
3.1146363084811646,Su-Chi
3.1151106808964077,Coal Golem
3.1156512624600015,Gixian Infiltrator
3.116288878091596,Brain Weevil
3.1177014689333493,Sakura-Tribe Elder
3.1185417344548245,Assassinate
3.1218249717399416,Treva's Attendant
3.122408203777814,Argothian Treefolk
3.123063871325837,Street Sweeper
3.1230672877128196,Perilous Forays
3.1256814661809162,Relic Putrescence
3.1259746234036214,Ravaged Highlands
3.1260259772199253,Doom Cannon
3.12622004184043,Aesthir Glider
3.126638803348157,Golgari Cluestone
3.1273734571538405,Geothermal Crevice
3.12743568606599,Soliton
3.1277978974762104,Heraldic Banner
3.12929858419791,Coral Colony
3.131519579839417,Covetous Dragon
3.1321310972220076,Obelisk of Urd
3.1321633389113384,Vent Sentinel
3.1324599466884075,Goblin Medics
3.133044795694229,Thrull Parasite
3.1341586889538107,Goblin Trashmaster
3.138529779517957,Carrion Feeder
3.140113870052293,Crush Underfoot
3.1402594244053303,Rust Scarab
3.140877289978348,Vinelasher Kudzu
3.1410122497347026,Horn of Ramos
3.1412579354740835,Haywire Mite
3.1414559598466534,Jaddi Lifestrider
3.1420828530283678,Carven Caryatid
3.143537189658205,Phylactery Lich
3.1438802377581943,Conclave Naturalists
3.1445596801846367,Shared Triumph
3.1466337553852615,Golgari Locket
3.146981710985997,Cho-Manno's Blessing
3.1481673463023707,Dandân
3.1482899122791417,Acrobatic Cheerleader
3.1485444044356226,Elsewhere Flask
3.148832265051074,Seal of Doom
3.1497967212047118,Vanquisher's Banner
3.153886874167032,Workhorse
